feature,importance
ГК/ПЛОТНОСТЬ,0.22566184
ННК*ПЛОТНОСТЬ,0.06618203
DTC,0.06281599
КАЛИБР,0.05920604
ГК,0.057614334
КООРДИНАТА_Y,0.052921806
RES_СРЕДНЯЯ,0.05089463
РАЗМЕР_ДОЛОТА,0.045343135
КООРДИНАТА_Z,0.044714127
КООРДИНАТА_X,0.041435715
ГЛУБИНА_ИЗМЕРЕННАЯ,0.03912478
ННК,0.039029304
ПЛОТНОСТЬ,0.038484577
ПЛОТНОСТЬ_ПОПРАВКА,0.03041528
RES_ГЛУБОКАЯ,0.029823473
СП,0.02371203
PEF,0.020669527
ГК_DIFF,0.018184029
RES_ГЛУБОКАЯ/RES_СРЕДНЯЯ,0.017729722
RES_ЗОНА_ВТОРЖЕНИЯ,0.017110303
ГК_МА,0.010475946
ПЛОТНОСТЬ_STD,0.004275897
ПЛОТНОСТЬ_DIFF,0.0041754227
